alley	n. 小径；小巷；小路
survey	n. 调查；测量；纵览；审视; vt. 调查；勘测；俯瞰; vi. 测量土地 时 态: surveyed, surveying, surveys 名 词: surveyor
sweater	n. 毛衣
switches	n. 开关；交换器；控制增强型键盘及启动模式; v. 鞭打；转变
symptom	n. 征兆；症状
syndicate	n. 辛迪加, 企业联合组织, 财团; vt. & vi. 联合组成辛迪加; vt. 出售 时 态: syndicated, syndicating, syndicates 名...
syrup	n. 糖浆; 糖汁; 糖浆类药品
tablet	n. 药片; 简；碑，牌匾 时 态: tableted，tableting，tablets
tape	n. 带子; 录音磁带；录像带; vt. 用带子捆起来; vt. & vi. 录音 时 态: taped，taping，tapes 形容词: tapeless
tax	vt. 向…课税；使负重担; n. 税金；重负 时 态: taxed, taxing, taxes 名 词: taxer
teeth	tooth的复数形式; 致力于；认真处理; 强大有效；有杀伤力; 不顾危险
temple	n. 庙宇；寺院；神殿；太阳穴 Temple坦普尔
text	n. 正文，文字材料；课本，课文；文本，文章；题目，主题；文档；短信; v. 给……发短信 时 态: texts, texting, texted
theft	n. 盗窃；偷；赃物
theory	n. 理论；原理；学说；推测
therapist	n. 治疗专家;特定疗法技师;临床医学家
therapy	n. 治疗，疗法
thief	n. 小偷，贼
thieves	n. 小偷
third	n. 第三; 三分之一; adj. 第三的; 三分之一的; 逼供，疲劳讯问，刑讯; 第三次运气就好了 副 词: third
threat	n. 威胁, 恐吓; 可能造成威胁的人; 恶兆, 兆头 时 态: threated, threating, threats
thriller	n. 使人毛骨悚然的东西；使人毛骨悚然的小说；惊险小说
tide	n. 潮汐；趋势，潮流; vt. 随潮漂流 时 态: tided, tiding, tides
tides	n. 潮汐; v. 随潮水漂浮
timber	n. 木料, 木材; 树木, 横梁 时 态: timbered, timbering, timbers
toaster	n. 烤面包片机
toilet	n. 厕所，盥洗室；坐便器，马桶；梳妆，打扮; vi. 梳妆，打扮; vt. 给…梳妆打扮
tour	n. 旅行, 观光; 巡回比赛; vt. & vi. 旅行, 游历 时 态: toured, touring, tours 名 词: tourer
touring	adj. 游客的；游览的; n. 游览；转动; v. 旅行；作巡回演讲
tourism	n. 旅游业；游览
tourist	n. 旅行者，观光客; adj. 旅游的; vt. 在旅行参观; vi. 观光；旅游; adv. 坐旅游车厢；坐经济舱 形容词: touristic 形容词: touris...
tower	n. 塔, 高楼; vi. 远远高于, 远远超过 时 态: towered, towering, towers
town	n. 城镇，市镇；市内商业区
tractor	n. 拖拉机；牵引机
tragedy	n. 悲剧；灾难；惨案
trailer	n. 预告片；拖车；追踪者; vi. 乘拖车式活动房屋旅行; vt. 用拖车载运 时 态: trailered, trailering, trailers 形容词: tr...
travel	vi. 旅行；步行；行进；交往; vt. 在…旅行；经过; n. 旅行；游历；漫游 时 态: traveled , travelled traveling , travelling...
traveler	n. 旅行者；旅客；旅行推销员
tribe	n. 部落；宗族；一伙；族
tribute	n. 贡物；颂词；礼物
Trinity	n. 三人小组；三件一套；三合一; 三，三倍
trolley	n. 手推车; 装有脚轮的小台车; 电车
tuition	n. 学费; 课程讲授
tunnels	n. 隧道；地下道；洞群; v. 凿隧道；建筑隧道
tutor	n. 导师; 家庭教师, 私人教师 时 态: tutored, tutoring, tutors
umpire	n. 裁判员；仲裁人；裁决者; vt. 仲裁；裁判; vi. 做仲裁人；当裁判 时 态: umpired，umpiring，umpires
uniform	n. 制服; adj. 全都相同的, 一律的, 清一色的 时 态: uniformed, uniforming, uniforms 副 词: uniformly
utensil	n. 用具，器皿
vacation	n. 假期；搬出; vi. 休假，度假 时 态: vacationed, vacationing, vacations
variety	n. 品种, 种类; 种种, 各种; 变化, 多样化
vegetable	n. 蔬菜; 生活单调的人; 植物人
velvet	n. 天鹅绒，丝绒；天鹅绒似的东西; adj. 天鹅绒的
vinegar	n. 醋
visitor	n. 访问者，参观者；视察者；候鸟
waist	n. 腰，腰部
waiter	n. 服务员，侍者
wall	n. 墙壁，围墙；似墙之物; vt. 用墙围住，围以墙; adj. 墙壁的 时 态: walled, walling, walls 形容词: wallless
wasp	n. 黄蜂;胡蜂; 易动怒的人;刻毒的人 WASPabbr. 祖先是英国新教徒的美国人 WASPabbr. 〈美〉祖先是英国新教徒的美国人
waste	n. 浪费；滥用; 废料，废弃物; 荒地; vt. & vi. 浪费，徒劳; 损耗，消瘦; vt. 破坏，使荒芜; adj. 废弃的；无用的；荒芜的 时 态: wasted，wasti...
wasteland	n. 荒原,荒地
water	n. 水；雨水；海水；海域，大片的水; vt. 使湿；供以水；给…浇水; vi. 加水；流泪 时 态: watered, watering, waters
wave	vi. 波动；起伏；摇动；呈波形；挥手示意; vt. 向…挥手示意；使成波浪形；卷发; n. 波浪；波动；高潮；卷曲；挥手示意 时 态: waved, waving, waves ...
wealth	n. 财富；大量；富有
weapon	n. 武器, 兵器; 自卫的手段 时 态: weaponed, weaponing, weapons
weeds	n. 丧服；黑纱；野草; v. 除去杂草；除去无用的东西；清除
weight	n. 重量，重力；砝码；重要性；负担; vt. 加重量于，使变重 时 态: weighted, weighting, weights
wetland	n. 湿地；沼泽地
whale	vt. 猛揍；使惨败; vi. 捕鲸; n. 鲸；巨大的东西 时 态: whaled, whaling, whales
wheel	n. 轮子, 车轮, 机轮; 方向盘, 舵轮; 旋转, 旋转运动; vi. 转动, 旋转; vt. 推, 拉 时 态: wheeled, wheeling, wheels
width	n. 宽度, 阔度, 广度; 宽, 广
willows	n. 杨柳；棒球球棒
wing	n. 翅膀；翼；飞翔；派别; vt. 使飞；飞过；空运；增加…速度；装以翼; vi. 飞行 时 态: winged, winging, wings
word	n. 单词；话语；消息；诺言；命令; vt. 用言辞表达 Word微软公司生产的文字处理软件。时 态: worded, wording, words
world	n. 世界；全人类；世俗；领域；宇宙；物质生活
yoga	n. 瑜珈；瑜珈术 形容词: yogic
